장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
비지니스라마다앙코르바이윈덤부산해운대,해운대역도보1분,9.2,슈페리어 더블,70000원,디럭스 트윈,80000원,패밀리 트윈,100000원,[2인 조식 패키지] 슈페리어 더블,110000원,[2인 조식 패키지] 디럭스 트윈,120000원,[2인 조식 패키지] 패밀리 트윈,140000원,코너 스위트 더블,180000원,코너 스위트 트윈,180000원,[2인 조식 패키지] 코너 스위트 더블,220000원,[2인 조식 패키지] 코너 스위트 트윈,220000원
3성급호텔아쿠아펠리스,광안리해수욕장앞,8.1,한국식 패밀리온돌-전망없음,90000원,디럭스 더블 (전망 없음/리모델링),90000원,디럭스 트윈 (전망 없음/리모델링),90000원,오션+시티 체크인 시 배정 (더블or트윈),100000원,[조식 2인] 디럭스 더블 (전망 없음/리모델링),105000원,[조식 2인] 디럭스 트윈 (전망 없음/리모델링),105000원,[객찜 패키지] 디럭스 → 오션시티 트윈,130000원,,,,,,
비지니스반짝특가광수호텔,해운대해수욕장도보4분,9.2,[단독특가] 슈페리얼 더블,39000원,[도보특가-주차불가] 슈페리얼 더블,115000원,슈페리얼 더블,120000원,[룸 업그레이드] 슈페리어 → 디럭스 더블 시티,120000원,[도보특가-주차불가] 디럭스 더블 시티,135000원,[도보특가-주차불가] 디럭스 트윈 시티,135000원,디럭스 더블 시티,140000원,디럭스 트윈 시티,140000원,[고백 패키지] 슈페리얼 더블,140000원,디럭스 더블 하프 오션,160000원
1급광안리그레이193호텔,광안리해변도보1분,9.3,[반나절 호캉스-숙박불가] 체크인 시 배정 (...,65000원,오션 디럭스 (오션뷰),110000원,[와인PKG] 오션 디럭스 (오션뷰),130000원,하이오션 디럭스 (오션뷰),140000원,오션 트윈 (오션뷰),160000원,,,,,,,,,,
3성급호텔일루아,해운대도보5분,9.1,스탠다드 트윈,100000원,스탠다드 온돌,100000원,디럭스 더블,130000원,디럭스 트윈,130000원,디럭스 더블 테라스,170000원,슈퍼 디럭스 트윈,170000원,디럭스 온돌 테라스,210000원,디럭스 패밀리 트윈,210000원,스파 디럭스 테라스,250000원,로얄 스위트,300000원
비지니스반짝특가신라스테이서부산,하단역차량16분,9.6,[반나절 호캉스-숙박불가] 스탠다드 체크인시...,46200원,[반나절 호캉스-숙박불가] 스탠다드 체크인시...,77000원,[단독특가!룸UP+미니바포함+13시퇴실] 스탠다...,94900원,스탠다드 더블룸,114400원,스탠다드 트윈룸,114400원,[1인 조식 특가] 스탠다드 더블룸,114400원,[룸UP] 스탠다드 → 디럭스 더블룸,114400원,[룸UP] 스탠다드 → 디럭스 트윈룸,114400원,[무료 룸UP&신라스테이 베어 패키지] 스탠다...,114400원,[무료 룸UP&신라스테이 베어 패키지] 스탠다...,114400원
2성급오션더포인트호텔,부산수영구민락동,9.1,[반나절 호캉스-숙박불가] [7시간 이용권] 시...,60000원,디럭스 하프오션 (넷플릭스),75000원,[광안리 핫딜] 슈페리어 시티 트윈(넷플릭스),85000원,[롱스테이30H] 시티뷰 배정 (넷플릭스),105000원,[광안리 핫딜] 오션 스위트 조식패키지(넷플...,130000원,[오션랜덤] 오션뷰 랜덤 객실 배정,130000원,펫 룸 시티,135000원,슈페리어 오션 트윈 조식패키지(넷플릭스),150000원,이그제큐티브 오션 스위트 조식패키지(넷플릭스),170000원,펫 룸 오션,170000원
3성급베스트루이스해밀턴호텔해운대,해운대도보5분,9.4,[반나절 호캉스-숙박불가] 체크인 시 배정 (...,36000원,비즈니스 더블,45000원,[레이트버드-20시 체크인] 슈페리어 더블,45000원,[일찍 일어나면 특가-09시 체크아웃] 슈페리...,45000원,슈페리어 더블,50000원,[주차불가-12시 늦은 퇴실] 슈페리어 더블,50000원,[친환경 패키지] 슈페리어 더블,50000원,[비즈니스 패키지] 슈페리어 더블,60000원,[레이트버드-20시 체크인] 디럭스 더블,60000원,[조식 2인 패키지] 비즈니스 더블,64000원
1급부산지앤비호텔,자갈치역도보10분,9.4,스탠다드 더블,65000원,스탠다드 트윈,65000원,디럭스 더블,75000원,스위트 더블,85000원,디럭스 트윈,95000원,패밀리 트윈,105000원,패밀리 트리플,135000원,주니어 스위트,135000원,프리미엄 스위트,215000원,,
2성급광안리하운드호텔,광안리해변앞,9.3,스탠다드 더블 (전망없음),60000원,체크인 시 배정 (하프오션뷰/트윈),80000원,디럭스 더블 (전망없음),90000원,디럭스 트윈 (전망없음),95000원,패밀리 트윈 (전망없음),100000원,슈페리어 더블 (전망없음) - Type A,100000원,슈페리어 더블 (전망없음) - Type B,110000원,스탠다드 더블 (오션뷰),120000원,체크인 시 배정 (오션뷰),120000원,디럭스 트윈 (오션뷰),140000원
